Year,Years_of_Schooling,Literacy_Rate_15_24,Primary_Completion_Rate,Lower_Secondary_Completion,Upper_Secondary_Completion
2017,140.0,,92.0,128.0,86.0
2017,37.0,,,40.0,
2017,34.0,,,,
2017,30.0,,,,
2017,32.0,,,,
2017,59.0,,31.0,44.0,
2017,49.0,,34.0,52.0,32.0
2017,75.0,,48.0,48.0,49.0
2017,91.0,,41.0,71.0,55.0
2017,68.0,,46.0,69.0,40.0
2017,82.0,,63.0,75.0,48.0
2017,134.0,,60.0,108.0,78.0
2017,153.0,,93.0,96.0,99.0
2017,119.0,,68.0,90.0,80.0
2017,47.0,,,37.0,30.0
2017,109.0,,51.0,85.0,71.0
2017,58.0,,,33.0,30.0
2017,353.0,,195.0,304.0,219.0
2017,51.0,,30.0,33.0,37.0
2017,33.0,,,,
2017,136.0,,51.0,84.0,76.0
2017,32.0,,,,
2017,87.0,,48.0,63.0,50.0
2017,60.0,,41.0,66.0,35.0
2017,49.0,,,41.0,
2017,45.0,,,38.0,
2017,149.0,,91.0,144.0,85.0
2017,129.0,,59.0,97.0,78.0
2017,71.0,,49.0,48.0,49.0
2017,32.0,,,,
2017,174.0,,94.0,162.0,114.0
2017,81.0,,66.0,86.0,50.0
2017,124.0,,62.0,95.0,82.0
2017,37.0,,,,
2017,49.0,,,,
2017,177.0,,85.0,144.0,106.0
2017,66.0,,36.0,50.0,50.0
2017,69.0,,,43.0,39.0
2017,57.0,,,,31.0
2017,77.0,,57.0,69.0,52.0
2017,555.0,,288.0,378.0,328.0
2017,343.0,,202.0,280.0,226.0
2017,38.0,,,41.0,
2017,33.0,,,,
2017,37.0,,,36.0,
2017,46.0,,,39.0,
2017,37.0,,,,
2017,46.0,,33.0,33.0,
2017,48.0,,,,
2017,35.0,,,,
2017,57.0,,36.0,34.0,30.0
2017,42.0,,,,
2017,60.0,,31.0,47.0,35.0
2017,113.0,,63.0,60.0,64.0
2017,251.0,,145.0,203.0,163.0
2017,48.0,,37.0,40.0,
2017,48.0,,,39.0,
2017,46.0,,,,31.0
2017,50.0,,,31.0,
2017,38.0,,,,
2017,54.0,,,,31.0
2017,47.0,,,,
2017,33.0,,,,
2017,39.0,,,,
2017,38.0,,,30.0,
2017,67.0,,,,37.0
2017,175.0,,91.0,136.0,113.0
2017,43.0,,,37.0,30.0
2017,59.0,,,,33.0
2017,38.0,,,38.0,
2017,46.0,,,37.0,
2017,41.0,,,34.0,
2017,46.0,,,30.0,30.0
2017,50.0,,,39.0,33.0
2017,85.0,,43.0,78.0,50.0
2017,33.0,,,,
2017,32.0,,,,
2017,45.0,,,39.0,36.0
2017,33.0,,,,
2017,39.0,,,,
2017,53.0,,41.0,49.0,36.0
2017,,,30.0,,
2017,45.0,,,52.0,31.0
2017,120.0,,53.0,85.0,73.0
2017,241.0,,122.0,166.0,158.0
2017,30.0,,,,
2017,64.0,,30.0,37.0,50.0
2017,57.0,,,40.0,
2017,975.0,,626.0,934.0,586.0
2017,184.0,,80.0,130.0,102.0
2017,47.0,,,34.0,
2017,91.0,,41.0,69.0,43.0
2017,158.0,,45.0,94.0,81.0
2017,47.0,,,36.0,
2017,76.0,,39.0,51.0,43.0
2017,48.0,,,31.0,36.0
2017,46.0,,31.0,37.0,30.0
2017,,,,32.0,
2017,145.0,,89.0,133.0,90.0
2017,35.0,,,,
2017,40.0,,,34.0,
2017,37.0,,,,
2017,46.0,,,,31.0
2017,50.0,,33.0,37.0,
2017,79.0,,,,53.0
2017,81.0,,42.0,47.0,57.0
2017,69.0,,31.0,45.0,41.0
2017,30.0,,,,
2017,36.0,,,,
2017,30.0,,,,
2017,40.0,,,,
2017,50.0,,37.0,49.0,32.0
2017,30.0,,,,
2017,1025.0,,719.0,1007.0,645.0
2017,45.0,,,,
2017,230.0,,105.0,147.0,137.0
2017,45.0,,33.0,36.0,34.0
2017,130.0,,64.0,97.0,94.0
2017,41.0,,,,
2017,38.0,,,45.0,
2017,62.0,,,45.0,41.0
2017,35.0,,,,
2017,30.0,,32.0,34.0,
2017,74.0,,,44.0,45.0
2017,41.0,,,41.0,
2017,35.0,,,,
2017,35.0,,,42.0,
2017,35.0,,,,
2017,37.0,,,,
2017,,,30.0,,
2017,42.0,,,33.0,
2017,,,,37.0,
2017,46.0,,,33.0,31.0
2017,58.0,,,,
2017,34.0,,,,
2017,40.0,,,32.0,
2017,39.0,,,,
2017,87.0,,46.0,89.0,49.0
2017,46.0,,,49.0,
2017,34.0,,,35.0,
2017,186.0,,84.0,131.0,97.0
2017,68.0,,,54.0,35.0
2017,32.0,,,,
2017,33.0,,,37.0,
2017,45.0,,,33.0,
2017,,,,30.0,
2017,58.0,,34.0,44.0,41.0
2017,60.0,,,40.0,32.0
2017,51.0,,,40.0,
2017,68.0,,42.0,50.0,48.0
2017,31.0,,,,
2017,,,,39.0,
2017,37.0,,,,
2017,41.0,,,,
2017,32.0,,,,
2017,48.0,,,,
2017,39.0,,,,
2017,35.0,,,,
2017,52.0,,,38.0,34.0
2017,43.0,,,,
2017,43.0,,,35.0,
2017,64.0,,39.0,40.0,34.0
2017,33.0,,,31.0,
2017,38.0,,,,
2017,44.0,,,,
2017,94.0,,54.0,67.0,61.0
2017,35.0,,,,
2017,88.0,,35.0,61.0,58.0
2017,46.0,,30.0,31.0,
2017,41.0,,,33.0,
2017,65.0,,37.0,63.0,31.0
2017,46.0,,,,
2017,175.0,,83.0,107.0,97.0
2017,39.0,,,,
2017,,,,31.0,
2017,37.0,,,33.0,
2017,43.0,,,31.0,
2017,40.0,,,,
2017,39.0,,,38.0,
2017,140.0,,85.0,113.0,88.0
2017,32.0,,,,
2017,35.0,,,,
2017,49.0,,,44.0,
2017,32.0,,,,
2017,45.0,,,53.0,30.0
2017,39.0,,,30.0,
2017,63.0,,35.0,53.0,35.0
2017,385.0,,152.0,223.0,223.0
2017,177.0,,81.0,120.0,103.0
2017,1087.0,,585.0,843.0,658.0
2017,1101.0,,674.0,859.0,665.0
2017,1023.0,,573.0,796.0,629.0
2017,718.0,,387.0,625.0,413.0
2017,869.0,,515.0,725.0,530.0
2017,1045.0,,574.0,773.0,631.0
2017,944.0,,550.0,765.0,583.0
2017,1201.0,,600.0,814.0,712.0
2017,62.0,,37.0,68.0,41.0
2017,57.0,,35.0,59.0,31.0
2017,102.0,,50.0,58.0,65.0
2017,103.0,,54.0,76.0,62.0
2017,71.0,,64.0,70.0,42.0
2017,37.0,,30.0,31.0,
2017,1183.0,,568.0,765.0,733.0
2017,97.0,,67.0,73.0,64.0
2017,776.0,,455.0,664.0,452.0
2017,31.0,,,,
2017,36.0,,,,
2017,65.0,,31.0,,41.0
2017,134.0,,60.0,103.0,87.0
2017,79.0,,40.0,71.0,51.0
2017,30.0,,,,
2017,38.0,,,,
2017,39.0,,,,
2017,43.0,,,,31.0
2017,30.0,,,,
2017,43.0,,,,
2017,32.0,,,,
2017,,,,31.0,
2017,55.0,,,34.0,30.0
2017,122.0,,53.0,89.0,84.0
2017,38.0,,,,
2017,32.0,,,,
2017,89.0,,37.0,73.0,55.0
2017,65.0,,32.0,50.0,40.0
2017,104.0,,52.0,73.0,69.0
2017,55.0,,30.0,44.0,
2017,94.0,,80.0,82.0,65.0
2017,47.0,,,45.0,30.0
2017,58.0,,39.0,50.0,33.0
2017,61.0,,40.0,43.0,33.0
2017,101.0,,58.0,94.0,66.0
2017,88.0,,36.0,87.0,47.0
2017,81.0,,53.0,61.0,50.0
2017,79.0,,,53.0,43.0
2017,88.0,,57.0,92.0,49.0
2017,228.0,,133.0,182.0,129.0
2017,94.0,,,30.0,35.0
2017,61.0,,,35.0,39.0
2017,148.0,,101.0,109.0,96.0
2017,45.0,,,51.0,
2017,79.0,,63.0,87.0,53.0
2017,52.0,,40.0,52.0,37.0
2017,59.0,,42.0,55.0,36.0
2017,49.0,,,30.0,
2017,98.0,,69.0,117.0,60.0
2017,65.0,,49.0,43.0,47.0
2017,76.0,,57.0,56.0,50.0
2017,116.0,,62.0,105.0,77.0
2017,61.0,,40.0,67.0,37.0
2017,121.0,,56.0,77.0,75.0
2017,200.0,,87.0,143.0,119.0
2017,111.0,,54.0,68.0,60.0
2017,100.0,,55.0,81.0,69.0
2017,51.0,,,54.0,
2017,59.0,,38.0,47.0,36.0
2017,58.0,,38.0,42.0,38.0
2017,88.0,,46.0,48.0,46.0
2017,31.0,,,,
2017,50.0,,40.0,48.0,34.0
2017,40.0,,,41.0,
2017,34.0,,,,
2017,61.0,,,34.0,35.0
2017,1494.0,,842.0,1289.0,865.0
2017,1813.0,,1065.0,1490.0,1113.0
2017,2132.0,,1159.0,1616.0,1289.0
2017,2302.0,,1274.0,1673.0,1377.0
2017,2206.0,,1141.0,1561.0,1362.0
2017,157.0,,36.0,79.0,85.0
2017,42.0,,,43.0,
2017,33.0,,,,
2017,98.0,,38.0,69.0,54.0
2017,77.0,,31.0,52.0,58.0
2017,,,,34.0,
2017,36.0,,,,
2017,33.0,,,,
2017,37.0,,,30.0,
2017,42.0,,,,30.0
2017,389.0,,175.0,283.0,234.0
2017,574.0,,384.0,503.0,361.0
2017,99.0,,57.0,54.0,55.0
2017,39.0,,,,
2017,1094.0,,678.0,919.0,661.0
2017,555.0,,244.0,353.0,348.0
2017,62.0,,32.0,67.0,41.0
2017,203.0,,118.0,148.0,120.0
2017,55.0,,34.0,44.0,36.0
2017,126.0,,46.0,66.0,57.0
2017,622.0,,345.0,493.0,400.0
2017,54.0,,52.0,48.0,36.0
2017,338.0,,178.0,238.0,192.0
2017,144.0,,59.0,92.0,84.0
2017,34.0,,31.0,,
2017,897.0,,453.0,579.0,556.0
2017,1020.0,,561.0,718.0,591.0
2017,34.0,,,35.0,
2017,94.0,,44.0,53.0,53.0
2017,68.0,,48.0,55.0,41.0
2017,33.0,,,,
2017,45.0,,,46.0,
2017,31.0,,,,
2017,33.0,,,,
2017,88.0,,46.0,62.0,43.0
2017,53.0,,33.0,45.0,36.0
2017,119.0,,69.0,77.0,74.0
2017,41.0,,,,
2017,81.0,,39.0,54.0,44.0
2017,72.0,,37.0,58.0,47.0
2017,41.0,,,,
2017,36.0,,,,
2017,46.0,,,31.0,32.0
2017,103.0,,53.0,68.0,66.0
2017,31.0,,,,
2017,65.0,,30.0,51.0,43.0
2017,33.0,,,,
2017,30.0,,,,
2017,47.0,,,33.0,
2017,48.0,,31.0,36.0,
2017,127.0,,52.0,79.0,71.0
2017,33.0,,,,
2017,90.0,,47.0,68.0,61.0
2017,33.0,,,,
2017,45.0,,,37.0,
2017,30.0,,,,
2017,48.0,,32.0,37.0,
2017,117.0,,85.0,100.0,76.0
2017,66.0,,49.0,62.0,39.0
2017,41.0,,,,30.0
2017,38.0,,,,
2017,31.0,,,,
2017,,,,30.0,
2017,85.0,,44.0,68.0,52.0
2017,104.0,,78.0,83.0,64.0
2017,104.0,,86.0,87.0,67.0
2017,59.0,,,,30.0
2017,64.0,,30.0,37.0,50.0
2017,47.0,,,36.0,
2017,57.0,,,40.0,
2017,975.0,,626.0,934.0,586.0
2017,184.0,,80.0,130.0,102.0
2017,47.0,,,34.0,
2017,91.0,,41.0,69.0,43.0
2017,158.0,,45.0,94.0,81.0
2017,1025.0,,719.0,1007.0,645.0
2017,385.0,,152.0,223.0,223.0
2017,241.0,,122.0,166.0,158.0
2017,50.0,,40.0,48.0,34.0
2017,99.0,,57.0,54.0,55.0
2017,39.0,,,,
2017,1094.0,,678.0,919.0,661.0
2017,555.0,,244.0,353.0,348.0
2017,62.0,,32.0,67.0,41.0
2017,203.0,,118.0,148.0,120.0
2017,126.0,,46.0,66.0,57.0
2017,1020.0,,561.0,718.0,591.0
2017,622.0,,345.0,493.0,400.0
2017,54.0,,52.0,48.0,36.0
2017,177.0,,81.0,120.0,103.0
2017,120.0,,53.0,85.0,73.0
2017,45.0,,,52.0,31.0
2017,,,30.0,,
2017,45.0,,,39.0,36.0
2017,33.0,,,,
2017,,,,32.0,
2017,145.0,,89.0,133.0,90.0
2017,35.0,,,,
2017,40.0,,,34.0,
2017,37.0,,,,
2017,46.0,,,,31.0
2017,50.0,,33.0,37.0,
2017,79.0,,,,53.0
2017,81.0,,42.0,47.0,57.0
2017,69.0,,31.0,45.0,41.0
2017,30.0,,,,
2017,36.0,,,,
2017,30.0,,,,
2017,40.0,,,,
2017,50.0,,37.0,49.0,32.0
2017,46.0,,31.0,37.0,30.0
2017,48.0,,,31.0,36.0
2017,76.0,,39.0,51.0,43.0
2017,30.0,,,,
2017,39.0,,,,
2017,53.0,,41.0,49.0,36.0
2017,338.0,,178.0,238.0,192.0
2017,144.0,,59.0,92.0,84.0
2017,34.0,,31.0,,
2017,897.0,,453.0,579.0,556.0
2017,60.0,,41.0,66.0,35.0
2017,49.0,,,41.0,
2017,45.0,,,38.0,
2017,149.0,,91.0,144.0,85.0
2017,71.0,,49.0,48.0,49.0
2017,77.0,,57.0,69.0,52.0
2017,32.0,,,,
2017,174.0,,94.0,162.0,114.0
2017,81.0,,66.0,86.0,50.0
2017,124.0,,62.0,95.0,82.0
2017,37.0,,,,
2017,49.0,,,,
2017,177.0,,85.0,144.0,106.0
2017,66.0,,36.0,50.0,50.0
2017,69.0,,,43.0,39.0
2017,57.0,,,,31.0
2017,58.0,,,33.0,30.0
2017,129.0,,59.0,97.0,78.0
2017,109.0,,51.0,85.0,71.0
2017,37.0,,,40.0,
2017,80.0,,51.0,85.0,47.0
2017,40.0,,32.0,,
2017,60.0,,32.0,38.0,35.0
2017,87.0,,48.0,63.0,50.0
2017,32.0,,,,
2017,32.0,,,,
2017,33.0,,,,
2017,574.0,,384.0,503.0,361.0
2017,55.0,,34.0,44.0,36.0
2017,389.0,,175.0,283.0,234.0
2017,157.0,,36.0,79.0,85.0
2017,61.0,,,34.0,35.0
2017,1494.0,,842.0,1289.0,865.0
2017,1813.0,,1065.0,1490.0,1113.0
2017,2132.0,,1159.0,1616.0,1289.0
2017,2302.0,,1274.0,1673.0,1377.0
2017,2206.0,,1141.0,1561.0,1362.0
2017,103.0,,57.0,87.0,65.0
2017,72.0,,63.0,77.0,44.0
2017,169.0,,90.0,125.0,113.0
2017,101.0,,60.0,81.0,65.0
2017,38.0,,30.0,33.0,
2017,70.0,,60.0,71.0,41.0
2017,33.0,,,,
2017,71.0,,46.0,67.0,48.0
2017,127.0,,102.0,105.0,85.0
2017,39.0,,,,
2017,199.0,,120.0,193.0,129.0
2017,353.0,,195.0,304.0,219.0
2017,51.0,,30.0,33.0,37.0
2017,136.0,,51.0,84.0,76.0
2017,92.0,,62.0,59.0,60.0
2017,50.0,,,31.0,
2017,48.0,,37.0,40.0,
2017,35.0,,,,
2017,35.0,,,42.0,
2017,35.0,,,,
2017,37.0,,,,
2017,,,30.0,,
2017,,,,37.0,
